日期,code,收盘价
2024-01-09,sh.000300,3292.4994
2024-01-10,sh.000300,3277.129
2024-01-11,sh.000300,3295.6717
2024-01-12,sh.000300,3284.1667
2024-01-15,sh.000300,3280.9195
2024-01-16,sh.000300,3300.8762
2024-01-17,sh.000300,3229.082
2024-01-18,sh.000300,3274.7286
2024-01-19,sh.000300,3269.7763
2024-01-22,sh.000300,3218.9016
2024-01-23,sh.000300,3231.9329
2024-01-24,sh.000300,3277.1089
2024-01-25,sh.000300,3342.9189
2024-01-26,sh.000300,3333.8213
2024-01-29,sh.000300,3303.9604
2024-01-30,sh.000300,3245.0387
2024-01-31,sh.000300,3215.3518
2024-02-01,sh.000300,3217.7109
2024-02-02,sh.000300,3179.6276
2024-02-05,sh.000300,3200.4218
2024-02-06,sh.000300,3311.6922
2024-02-07,sh.000300,3343.6303
2024-02-08,sh.000300,3364.9297
2024-02-19,sh.000300,3403.8078
2024-02-20,sh.000300,3410.8542
2024-02-21,sh.000300,3456.8713
2024-02-22,sh.000300,3486.6747
2024-02-23,sh.000300,3489.7416
2024-02-26,sh.000300,3453.3585
2024-02-27,sh.000300,3494.7874
2024-02-28,sh.000300,3450.2598
2024-02-29,sh.000300,3516.0826
2024-03-01,sh.000300,3537.8038
2024-03-04,sh.000300,3540.8686
2024-03-05,sh.000300,3565.5143
2024-03-06,sh.000300,3551.0481
2024-03-07,sh.000300,3529.7195
2024-03-08,sh.000300,3544.9099
2024-03-11,sh.000300,3589.2635
2024-03-12,sh.000300,3597.4939
2024-03-13,sh.000300,3572.361
2024-03-14,sh.000300,3562.2229
2024-03-15,sh.000300,3569.993
2024-03-18,sh.000300,3603.528
2024-03-19,sh.000300,3577.6303
2024-03-20,sh.000300,3585.3838
2024-03-21,sh.000300,3581.0902
2024-03-22,sh.000300,3545.0023
2024-03-25,sh.000300,3525.7634
2024-03-26,sh.000300,3543.7467
2024-03-27,sh.000300,3502.7866
2024-03-28,sh.000300,3520.9648
2024-03-29,sh.000300,3537.4843
2024-04-01,sh.000300,3595.6466
2024-04-02,sh.000300,3580.6759
2024-04-03,sh.000300,3567.8031
